ID,item_cnt_month
0,0.46083948
1,0.130005
2,0.7997903
3,0.17469543
4,0.130005
5,0.5161453
6,1.032903
7,0.16056378
8,0.7738969
9,0.130005
10,2.6331284
11,0.22972977
12,0.124593586
13,0.32732987
14,1.5817773
15,2.6899476
16,0.130005
17,0.14375576
18,1.2096677
19,0.11285017
20,0.6552267
21,0.130005
22,0.78814226
23,0.7513507
24,1.5036769
25,0.130005
26,0.130005
27,0.46531135
28,0.8244136
29,3.2869956
30,0.38898462
31,0.130005
32,0.40519133
33,0.5583507
34,0.133102
35,0.13039798
36,0.14449382
37,0.4924495
38,0.23923396
39,0.14024304
40,0.5968805
41,0.92400175
42,3.1532626
43,3.1444774
44,0.379302
45,0.130005
46,0.6992008
47,0.2001127
48,0.24111773
49,0.94712234
50,1.1899114
51,0.22972977
52,0.6480399
53,0.19521806
54,6.135078
55,2.9247372
56,2.3673058
57,2.098323
58,5.299807
59,4.253876
60,4.7805996
61,0.48213995
62,0.34712842
63,0.3720136
64,0.130005
65,0.130005
66,0.77422756
67,0.1320841
68,0.379302
69,0.13977909
70,0.130005
71,1.7178836
72,0.5094924
73,1.0232677
74,0.130005
75,0.130005
76,0.36594617
77,0.130005
78,0.3251625
79,0.60951185
80,0.8529076
81,2.9806952
82,0.6927255
83,0.2363615
84,0.83565277
85,1.1768665
86,0.61480224
87,0.12641871
88,3.4195719
89,1.3745232
90,0.8025475
91,0.37173253
92,1.8348353
93,0.17469543
94,0.21826127
95,0.12391594
96,0.1320841
97,0.45854014
98,0.61880696
99,1.5337696
100,0.5816338
101,0.658629
102,0.24198091
103,0.37173253
104,0.13623746
105,0.130005
106,0.130005
107,0.63145435
108,0.14298545
109,0.130005
110,0.2301952
111,0.130005
112,0.130005
113,0.130005
114,0.29624718
115,0.28787816
116,0.130005
117,0.14059366
118,8.194397
119,0.15811034
120,0.11787605
121,0.13686627
122,0.37023425
123,0.5437782
124,0.52787167
125,1.2106843
126,0.130005
127,0.123349145
128,0.130005
129,0.22974697
130,0.37173253
131,0.130005
132,0.37173253
133,2.886075
134,0.13011828
135,0.37173253
136,0.22972977
137,0.130005
138,0.9216272
139,0.130005
140,0.23699358
141,0.4679879
142,0.15089701
143,0.22972977
144,0.130005
145,0.130005
146,0.130005
147,0.17792886
148,0.130005
149,0.130005
150,0.15092215
151,0.130005
152,5.4399056
153,0.27375138
154,0.130005
155,0.19601214
156,0.24949461
157,0.1289891
158,0.17479712
159,0.38704437
160,0.130005
161,0.22972977
162,0.130005
163,0.45640188
164,0.33482534
165,0.12851399
166,0.55496836
167,0.13524082
168,0.130005
169,0.12659848
170,0.22972977
171,0.47837377
172,0.37194264
173,1.1254699
174,1.4850087
175,3.012097
176,1.260237
177,0.130005
178,0.46773654
179,0.13735197
180,0.9844061
181,0.40301162
182,0.130005
183,0.16895767
184,0.22311887
185,0.130005
186,0.14201559
187,0.20409232
188,0.130005
189,0.130005
190,0.130005
191,0.54372215
192,0.5968805
193,0.17192794
194,0.1289891
195,0.16969092
196,0.37173253
197,2.207102
198,1.1930528
199,0.130005
200,0.130005
201,0.130005
202,0.19520368
203,1.2064598
204,0.16733122
205,0.130005
206,0.130005
207,0.12720054
208,1.3774118
209,0.5380058
210,0.24358754
211,0.15223631
212,0.13222395
213,0.37173253
214,0.14727928
215,0.53057003
216,0.45007658
217,0.21122059
218,1.8991029
219,0.44039035
220,0.42793274
221,0.130005
222,0.130005
223,0.7606093
224,2.4590425
225,0.3808839
